Employee_ID,Name,Department,Gender,Years_at_Company,Salary,Experience_Level
86074,Albert Abbott,Engineering,Male,1,53843,Junior
72165,Jaime Willis,Engineering,Female,8,111726,Junior
28745,Karen Arias,Customer Support,Male,10,57640,Mid
31446,Jamie Donovan,Engineering,Male,11,92528,Mid
61209,Ashley Young,Marketing,Female,12,78413,Mid
4914,Andrea Rogers,Marketing,Male,13,92638,Junior
52059,Diane Flynn,HR,Female,13,92736,Mid
5934,Corey Long,Product Management,Female,12,147892,Mid
82031,Sara Alvarado,Engineering,Male,14,146357,Junior
97475,Jessica Rogers,Engineering,Female,2,108866,Senior
70662,Wesley Herrera,Customer Support,Male,13,59087,Junior
29154,Stacy Santos,Marketing,Female,3,81430,Mid
74264,Natalie Johnson,Product Management,Female,2,64504,Junior
83235,Anthony Padilla,HR,Male,3,47114,Senior
39004,Eric Kelly,Marketing,Female,7,118859,Junior
21535,Rachel Rodriguez,HR,Female,1,139657,Mid
27641,Julie Levine,Customer Support,Female,10,50975,Senior
19803,Mr. Matthew Kirk,Customer Support,Female,8,51023,Mid
98064,Leah Mckinney,Engineering,Female,13,61447,Senior
95360,Michael Mckenzie,Product Management,Male,10,130469,Senior
2585,Kimberly David,HR,Female,10,63959,Junior
